citing_paper_title,citing_paper_authors,citing_paper_citations,num_cited_papers,cited_paper_titles
Proceedings of the 3rd Workshop on FAMIX and MOOSE in Software Reengineering (FAMOOSr'09),"S Denier, T Girba - 3rd Workshop on FAMIX and MOOSE in  , 2009 - hal.archives-ouvertes.fr","",1,Designing your next empirical study on program comprehension
FAMOOSr 2009,"FT Grba, J Brichau, S Demeyer, A Kellens, M Lanza - 2009 - Citeseer","",1,Designing your next empirical study on program comprehension
An empirical study on program comprehension with reactive programming,"G Salvaneschi, S Amann, S Proksch - Proceedings of the 22nd  , 2014 - dl.acm.org",Cited by 4,1,Designing your next empirical study on program comprehension
Influence of synchronized domain visualizations on program comprehension,"N Oliveira, MJV Pereira, D da Cruz - 2010 IEEE 18th  , 2010 - computer.org","",1,Designing your next empirical study on program comprehension
Augmenting eclipse with dynamic information,"M Hrry - Master's thesis, University of Bern, 2010 - scg.unibe.ch",Cited by 6,1,Designing your next empirical study on program comprehension
Empirical validation of CodeCity,"R Wettel, M Lanza, R Robbes - 2010 - doc.rero.ch","",1,Designing your next empirical study on program comprehension
How to master challenges in experimental evaluation of 2D versus 3D software visualizations,"R Muller, P Kovacs, J Schilbach - 3DVis (3DVis), 2014  , 2014 - ieeexplore.ieee.org","",1,Designing your next empirical study on program comprehension
Enhancing design models with composition properties: a software maintenance study,"F Dantas, A Garcia, J Whittle, J Arajo - Proceedings of the 12th annual  , 2013 - dl.acm.org","",1,Designing your next empirical study on program comprehension
A Framework to Evaluate the Effectiveness of Software Visualization Tools in Maintenance Activities,M SENSALIRE - 2009 - cs.rug.nl,"",1,Designing your next empirical study on program comprehension
Using Students as Experimental Subjects in Software Engineering Research--A Review and Discussion of the Evidence,"DG Feitelson - arXiv preprint arXiv:1512.08409, 2015 - arxiv.org","",1,Designing your next empirical study on program comprehension
Visual analytics in software maintenance: Challenges and opportunities,"A Telea, O Ersoy, L Voinea - Proc. EuroVAST, Eurographics, 2010 - compaid.com",Cited by 9,1,Experimental settings in program comprehension: Challenges and open issues
Protecting anti-virus software under viral attacks,R Srinivasan - 2007 - Citeseer,Cited by 13,1,Understanding obfuscated code
Multi-stage binary code obfuscation using improved virtual machine,"H Fang, Y Wu, S Wang, Y Huang - Information Security, 2011 - Springer",Cited by 10,1,Understanding obfuscated code
Intellectual property protection using obfuscation,"S Drape - Proceedings of SAS 2009, 2009 - Citeseer",Cited by 7,1,Understanding obfuscated code
Software control flow watermarking,"KS Wilson, JD Sattler - US Patent 8,661,559, 2014 - Google Patents",Cited by 2,1,Understanding obfuscated code
Analyse et dtection dynamique de codes viraux dans un contexte cryptographique,S Josse - 2009 - pastel.archives-ouvertes.fr,Cited by 2,1,Understanding obfuscated code
The DynaRIA tool for the comprehension of Ajax web applications by dynamic analysis,"D Amalfitano, AR Fasolino, A Polcaro - Innovations in Systems  , 2014 - Springer",Cited by 9,1,Designing your next empirical study on program comprehension
   ," ,  ,   - URL: http://www. ict. edu. ru/ft  - ict.informika.ru",Cited by 1,1,Understanding obfuscated code
             ,"  -     .,    , 2008 - db.iis.nsk.su",Cited by 1,1,Understanding obfuscated code
   :    ," ,  ,   -    , 2007 - cyberleninka.ru",Cited by 1,1,Understanding obfuscated code
.2Languages and Security: Safer Software Through Language and Compiler Techniques,"R Simha, S Smith, W Obfuscation - Citeseer","",1,Understanding obfuscated code
Improving protection of PHP source code using cryptology models,"A Jevremovic, N Ristic -   in Modern Satellite, Cable  , 2013 - ieeexplore.ieee.org","",1,Understanding obfuscated code
Cryptography using quasigroups,"LA Anderson - US Patent 8,751,822, 2014 - Google Patents","",1,Understanding obfuscated code
Exploiting dynamic information in IDEs improves speed and correctness of software maintenance tasks,"D Rthlisberger, M Hrry, W Binder - Software  , 2012 - ieeexplore.ieee.org",Cited by 21,1,Designing your next empirical study on program comprehension
Software systems as cities: A controlled experiment,"R Wettel, M Lanza, R Robbes -   of the 33rd International Conference on  , 2011 - dl.acm.org",Cited by 110,1,Designing your next empirical study on program comprehension
"Comparison of feature implementations across languages, technologies, and styles","R Lammel, M Leinberger, T Schmorleiz -  CSMR-WCRE), 2014 , 2014 - ieeexplore.ieee.org",Cited by 3,1,Program complexity metrics and programmer opinions
An empirical study on how developers reason about module cohesion,"BC da Silva, CN Sant'Anna, CFG Chavez - Proceedings of the 13th  , 2014 - dl.acm.org",Cited by 1,1,Program complexity metrics and programmer opinions
Managing Product Quality in Complex Software Development Projects,"K Schler, R Trogus, M Feilkas, T Kinnen - Proceedings of the Embedded  , 2015 - cqse.eu",Cited by 1,1,Program complexity metrics and programmer opinions
Measuring software developers' perceived difficulty with biometric sensors,"SC Muller - Software Engineering (ICSE), 2015 IEEE/ACM 37th , 2015 - ieeexplore.ieee.org","",1,Program complexity metrics and programmer opinions
Search-based refactoring: Metrics are not enough,"C Simons, J Singer, DR White - Search-Based Software Engineering, 2015 - Springer",Cited by 1,1,Program complexity metrics and programmer opinions
A formal evaluation of DepDegree based on weyuker's properties,"D Beyer, P Hring - Proceedings of the 22nd International Conference  , 2014 - dl.acm.org","",1,Program complexity metrics and programmer opinions
Influencing Factors on Code Smells and Software Maintainability: A Cross-Case Study,"T Vale, IS Souza, C Sant'Anna - dcc.ufmg.br","",1,Program complexity metrics and programmer opinions
How developers deal with Code Smells: the case of the SourceMiner Evolution team,"AR Santos, MA de Freitas Farias, ES de Almeida - vem2014.dcc.ufmg.br","",1,Program complexity metrics and programmer opinions
Validating metric thresholds with developers: An early result,"P Oliveira, MT Valente, A Bergel -   and Evolution (ICSME , 2015 - ieeexplore.ieee.org","",1,Program complexity metrics and programmer opinions
""," -  (SE), 2013 - ipsj.ixsq.nii.ac.jp","",1,Program complexity metrics and programmer opinions
Introduction and roadmap: History and challenges of software evolution,T Mens - 2008 - Springer,Cited by 275,1,Presenting micro-theories of program comprehension in pattern form
Mastering the information age-solving problems with visual analytics,"DA Keim, J Kohlhammer, G Ellis, F Mansmann - 2010 - books.google.com",Cited by 354,1,Designing your next empirical study on program comprehension
Supporting interrupted programming tasks with memory-based aids,CJ Parnin - 2014 - smartech.gatech.edu,Cited by 4,1,Presenting micro-theories of program comprehension in pattern form
Toward Measuring Program Comprehension with Functional Magnetic Resonance Imaging,"J Siegmund, A Brechmann, S Apel, C Kstner - cs.cmu.edu","",1,Supporting comprehension experiments with human subjects.
Leveraged quality assessment using information retrieval techniques,"DJ Lawrie, H Feild, D Binkley - Program Comprehension, 2006. , 2006 - ieeexplore.ieee.org",Cited by 48,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Effective identifier names for comprehension and memory,"D Lawrie, C Morrell, H Feild, D Binkley - Innovations in Systems and  , 2007 - Springer",Cited by 47,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Extracting meaning from abbreviated identifiers,"D Lawrie, H Feild, D Binkley - Source Code Analysis and  , 2007 - ieeexplore.ieee.org",Cited by 47,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Normalizing source code vocabulary,"D Lawrie, D Binkley, C Morrell - Reverse Engineering (WCRE),  , 2010 - ieeexplore.ieee.org",Cited by 47,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Syntactic identifier conciseness and consistency,"D Lawrie, H Feild, D Binkley - Source Code Analysis and  , 2006 - ieeexplore.ieee.org",Cited by 46,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
An empirical comparison of techniques for extracting concept abbreviations from identifiers,"H Feild, D Binkley, D Lawrie - Proceedings of IASTED  , 2006 - researchgate.net",Cited by 45,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Expanding identifiers to normalize source code vocabulary,"D Lawrie, D Binkley - Software Maintenance (ICSM), 2011 27th , 2011 - ieeexplore.ieee.org",Cited by 36,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Quantifying identifier quality: an analysis of trends,"D Lawrie, H Feild, D Binkley - Empirical Software Engineering, 2007 - Springer",Cited by 35,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Factors affecting the success of Open Source Software,"V Midha, P Palvia - Journal of Systems and Software, 2012 - Elsevier",Cited by 33,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Adopting the cognitive complexity measure for business process models,"V Gruhn, R Laue - Cognitive Informatics, 2006. ICCI 2006. 5th  , 2006 - ieeexplore.ieee.org",Cited by 32,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
"Slicing obfuscations: design, correctness, and evaluation","A Majumdar, SJ Drape, CD Thomborson -  of the 2007 ACM workshop on , 2007 - dl.acm.org",Cited by 26,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Refactoring via program slicing and sliding,"R Ettinger - ICSM, 2007 - researcher.ibm.com",Cited by 24,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
An empirical study of rules for wellformed identifiers,"D Lawrie, H Feild, D Binkley - Journal of Software Maintenance , 2007 - Wiley Online Library",Cited by 24,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Kompren: modeling and generating model slicers,"A Blouin, B Combemale, B Baudry - Software & Systems  , 2015 - Springer",Cited by 23,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
A cognitive complexity metric based on category learning,"T Klemola, J Rilling - Cognitive Informatics, 2003. Proceedings.  , 2003 - ieeexplore.ieee.org",Cited by 23,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Spatial complexity metrics: an investigation of utility,"NE Gold, AM Mohan, PJ Layzell - Software Engineering, IEEE  , 2005 - ieeexplore.ieee.org",Cited by 22,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Improving open source software maintenance,"V Midha, R Singh, P Palvia, N Kshetri - Journal of Computer  , 2010 - Taylor & Francis",Cited by 18,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Does complexity matter? The impact of change in structural complexity on software maintenance and new developers' contributions in open source software,"V Midha - ICIS 2008 Proceedings, 2008 - aisel.aisnet.org",Cited by 18,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Slicing aided design of obfuscating transforms,"S Drape, A Majumdar - Computer and Information  , 2007 - ieeexplore.ieee.org",Cited by 19,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Program complexity metrics and programmer opinions,"B Katzmarski, R Koschke - Program Comprehension (ICPC),  , 2012 - ieeexplore.ieee.org",Cited by 12,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Identifier length and limited programmer memory,"D Binkley, D Lawrie, S Maex, C Morrell - Science of Computer  , 2009 - Elsevier",Cited by 11,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Object-Oriented Inheritance Metrics: Cognitive Complexity Perspective,"D Mishra, A Mishra - Rough Sets and Knowledge Technology, 2009 - Springer",Cited by 7,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Design and Evaluation of Slicing Obfuscation,"S Drape, A Majumdar - 2007 - researchspace.auckland.ac.nz",Cited by 5,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
A comparative study of spatial complexity metrics and their impact on maintenance effort,"ZA Rana, MJ Khan, S Shamail - Emerging Technologies, 2006.  , 2006 - ieeexplore.ieee.org",Cited by 5,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Fine-grain analysis of common coupling and its application to a Linux case study,"DG Feitelson, TOS Adeshiyan - Journal of Systems and  , 2007 - Elsevier",Cited by 4,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Identifier splitting: A study of two techniques,"H Feild, D Binkley, D Lawrie - Proceedings of the Mid-Atlantic  , 2006 - prolangs.cs.vt.edu",Cited by 4,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
"Common coupling and pointer variables, with application to a Linux case study","SR Schach, TOS Adeshiyan, D Balasubramanian - Software Quality  , 2007 - Springer",Cited by 3,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Measuring indirect coupling,HY Yang - 2010 - cs.auckland.ac.nz,Cited by 3,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Property driven program slicing and watermarking in the abstract interpretation framework,S Bhattacharya - 2011 - dspace.unive.it,Cited by 4,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Complexity-driven reliability model,"N Schneidewind - International Journal of Reliability, Quality and  , 2008 - World Scientific",Cited by 2,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Measuring Object Coupling in OCL Expressions: A Cognitive Theory-Based Approach,"L Reynoso, M Genero, E Manso -   Conference, 2006. IMTC  , 2006 - ieeexplore.ieee.org",Cited by 2,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Mitigating the effects of structural complexity on open source software maintenance through accountability,"V Midha, S Slaughter - 2011 - aisel.aisnet.org",Cited by 1,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Object-Oriented Inheritance Metrics in the Context of Cognitive Complexity,"D Mishra, A Mishra - Fundamenta Informaticae, 2011 - content.iospress.com",Cited by 1,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
The Use of Reading Technique and Visualization for Program Understanding.,"D Porto, MG Mendona, SCPF Fabbri - SEKE, 2009 - researchgate.net",Cited by 2,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Metaviz: issues in software visualizing beyond 3D,JQ Wang - 2003 - spectrum.library.concordia.ca,Cited by 1,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Experience from Measuring Program ComprehensionToward a General Framework,"J Siegmund, C Kstner, S Apel, A Brechmann, G Saake - 2013 - repository.cmu.edu","",1,Supporting comprehension experiments with human subjects.
Conquering System Complexity,"NF Schneidewind - Conquering Complexity, 2012 - Springer","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
ACCo: a novel approach to measure cohesion using hierarchical slicing of Java programs,"S Panda, DP Mohapatra - Innovations in Systems and Software  , 2015 - Springer",Cited by 1,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
XVIZIT: Visualizing cognitive units in spreadsheets,"K Hodnigg, M Pinzger -   2015 IEEE 3rd Working Conference on, 2015 - ieeexplore.ieee.org","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Tesi Di Dottorato Settore Scientifico Disciplinare: INF/01,"A Cortesi, P Ugo - 2011 - unive.it","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
"The interplay among software volatility, complexity and development outcomes: evidence from open source software","JA Colazo - International Journal of Information Technology  , 2015 - inderscienceonline.com","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Semantics Based Identifier Mining for UML Models,"BSG Nadesan, K Alagarsamy - ijeit.com","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Analyzing the Evolution of WSDL Interfaces using Metrics,M Kalouda - 2013 - repository.tudelft.nl,"",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Part-of-Speech Tagging of Source Code Identifiers using Programming Language Context Versus Natural Language Context,RS AlSuhaibani - 2015 - etd.ohiolink.edu,"",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
 Eine empirische Untersuchung zu Komplexittsmetriken und Expertenmeinungen,B Katzmarski - 2012,"",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Manuteno de cdigo apoiada pela ferramenta CRISTA,"D Porto, A Zamboni, M Mendona, S Fabbri - lbd.dcc.ufmg.br","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Developing a computer science-specific learning taxonomy,"U Fuller, CG Johnson, T Ahoniemi, D Cukierman - ACM SIGCSE  , 2007 - dl.acm.org",Cited by 125,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
"What do students learn about programming from game, music video, and storytelling projects?","JC Adams, AR Webster - Proceedings of the 43rd ACM technical  , 2012 - dl.acm.org",Cited by 18,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Evaluation of a UML-based versus an IEC 61131-3-based software engineering approach for teaching PLC programming,"B Vogel-Heuser, M Obermeier, S Braun - Education, IEEE  , 2013 - ieeexplore.ieee.org",Cited by 15,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
